,AIMP,Amazing,APEPlayer,Audio_Wizard,AVSMediaPlayer,BBox,boom-1-0-21,BugsPlayer4,byul2,CircularMediaPlayer,cometplayer,DeliPlayer,Dev Player,foobar2000,Free PC Audio Recorder,FreeAMRPlayer,FrostWire,geniemusicmonitor,Goma,Groovy Media Player,jajuk,JetAudio,Juice,karaoke,KMPlayer,lc_player,Mac Blu-ray Player,mavenplayer,Melon,mpc-hc,mufin_player,Musican,mxplayweb,NemesisPlayer,nemp,OooPlayer,PetrusSMP,psymp3,pulpTunes,QQPlayer,Remote-Player,rtlrack,S4BAnyAudioGrabber,songbird,Spotify,syncPlayer,VUPlayer,Xion,Yamb,zplayer
1187,@Vcl@Controls@TWinControl@Invalidate$qqrv,,,,,,,,,??YQByteArray@@QAEAAV0@ABVQString@@@Z,,,,,,,,,,,,,,,,,?heightForWidth@QBoxLayout@@UBEHH@Z,,,,,ID3V2GetGeneralObjectDescriptionW,?GetWidth@wxSize@@QBEHXZ,,,,,,,,,,,,,,,,,
1188,@Vcl@Controls@TWinControl@GetDeviceContext$qqrrp6HWND__,,,,,,,,,?hash@QCryptographicHash@@SA?AVQByteArray@@ABV2@W4Algorithm@1@@Z,,,,,,,,,,,,,,,,,?hasHeightForWidth@QBoxLayout@@UBE_NXZ,,,,,ID3V2GetGeneralObjectDataW,??1wxFrame@@UAE@XZ,,,,,,,,,,,,,,,,,
1189,@Vcl@Controls@TWinControl@ShowControl$qqrp21Vcl@Controls@TControl,,,,,,,,,?toHex@QByteArray@@QBE?AV1@XZ,,,,,,,,,,,,,,,,,?isEmpty@QLayout@@UBE_NXZ,,,,,ID3V2GetFrameCountW,?GetClassInfo@wxFrame@@UBEPAVwxClassInfo@@XZ,,,,,,,,,,,,,,,,,
1190,@Vcl@Controls@TWinControl@SetBounds$qqriiii,,,,,,,,,??0QString@@QAE@VQLatin1String@@@Z,,,,,,,,,,,,,,,,,?geometry@QLayout@@UBE?AVQRect@@XZ,,,,,ID3V2GetEventTimingCodesTimestampFormatW,?Raise@wxFrame@@UAEXXZ,,,,,,,,,,,,,,,,,
1191,@Vcl@Controls@TWinControl@CMVisibleChanged$qqrr24Winapi@Messages@TMessage,,,,,,,,,?indexOf@QString@@QBEHABV1@HW4CaseSensitivity@Qt@@@Z,,,,,,,,,,,,,,,,,?setGeometry@QBoxLayout@@UAEXABVQRect@@@Z,,,,,ID3V2GetEventTimingCodesDataW,?GetClientAreaOrigin@wxFrame@@UBE?AVwxPoint@@XZ,,,,,,,,,,,,,,,,,
1192,@Vcl@Controls@TWinControl@SetDoubleBuffered$qqro,,,,,,,,,??0QTime@@QAE@HHHH@Z,,,,,,,,,,,,,,,,,?expandingDirections@QBoxLayout@@UBE?AV?$QFlags@W4Orientation@Qt@@@@XZ,,,,,ID3V2GetEqualisationInterpolationW,?Show@wxTopLevelWindowMSW@@UAE_N_N@Z,,,,,,,,,,,,,,,,,
1193,@Vcl@Controls@TWinControl@RequestAlign$qqrv,,,,,,,,,?toString@QTime@@QBE?AVQString@@ABV2@@Z,,,,,,,,,,,,,,,,,?maximumSize@QBoxLayout@@UBE?AVQSize@@XZ,,,,,ID3V2GetEqualisationIdentificationW,?SetFocus@wxWindow@@UAEXXZ,,,,,,,,,,,,,,,,,
1194,@Vcl@Controls@TWinControl@DefaultHandler$qqrpv,,,,,,,,,?toDouble@QString@@QBENPA_N@Z,,,,,,,,,,,,,,,,,?minimumSize@QBoxLayout@@UBE?AVQSize@@XZ,,,,,ID3V2GetEqualisationDataW,?AcceptsFocus@wxWindowBase@@UBE_NXZ,,,,,,,,,,,,,,,,,
1195,@Vcl@Controls@TWinControl@WndProc$qqrr24Winapi@Messages@TMessage,,,,,,,,,?toInt@QString@@QBEHPA_NH@Z,,,,,,,,,,,,,,,,,?sizeHint@QBoxLayout@@UBE?AVQSize@@XZ,,,,,ID3V2GetEqualisationAdjustmentBitsW,?GetDefaultItem@wxWindowBase@@UBEPAVwxWindow@@XZ,,,,,,,,,,,,,,,,,
1196,@Vcl@Controls@TWinControl@ControlAtPos$qqrrx19System@Types@TPointooo,,,,,,,,,?number@QString@@SA?AV1@NDH@Z,,,,,,,,,,,,,,,,,?count@QBoxLayout@@UBEHXZ,,,,,ID3V2GetEncryptionURLW,?SetDefaultItem@wxWindowBase@@UAEPAVwxWindow@@PAV2@@Z,,,,,,,,,,,,,,,,,
1197,@Vcl@Controls@TWinControl@SetParentDoubleBuffered$qqro,,,,,,,,,?path@QUrl@@QBE?AVQString@@V?$QFlags@W4ComponentFormattingOption@QUrl@@@@@Z,,,,,,,,,,,,,,,,,?indexOf@QLayout@@UBEHPAVQWidget@@@Z,,,,,ID3V2GetEncryptionSymbolW,?SetTmpDefaultItem@wxWindowBase@@UAEXPAVwxWindow@@@Z,,,,,,,,,,,,,,,,,
1198,@Vcl@Controls@TWinControl@UpdateControlState$qqrv,,,,,,,,,??0QUrlQuery@@QAE@ABVQUrl@@@Z,,,,,,,,,,,,,,,,,?takeAt@QBoxLayout@@UAEPAVQLayoutItem@@H@Z,,,,,ID3V2GetEncryptionDataW,?RemoveChild@wxWindowBase@@UAEXPAV1@@Z,,,,,,,,,,,,,,,,,
1199,@Vcl@Controls@TWinControl@RecreateWnd$qqrv,,,,,,,,,?queryItemValue@QUrlQuery@@QBE?AVQString@@ABV2@V?$QFlags@W4ComponentFormattingOption@QUrl@@@@@Z,,,,,,,,,,,,,,,,,?itemAt@QBoxLayout@@UBEPAVQLayoutItem@@H@Z,,,,,ID3V2GetEncodingW,?UpdateWindowUI@wxFrameBase@@UAEXJ@Z,,,,,,,,,,,,,,,,,
1200,@Vcl@Controls@TWinControl@DestroyHandle$qqrv,,,,,,,,,?compare@QString@@QBEHABV1@W4CaseSensitivity@Qt@@@Z,,,,,,,,,,,,,,,,,?addItem@QBoxLayout@@UAEXPAVQLayoutItem@@@Z,,,,,ID3V2GetCommercialFrameValidUntilW,?OnInternalIdle@wxFrameBase@@UAEXXZ,,,,,,,,,,,,,,,,,
1201,@Vcl@Controls@TWinControl@CustomAlignPosition$qqrp21Vcl@Controls@TControlrit2t2t2r18System@Types@TRectrx23Vcl@Controls@TAlignInfo,,,,,,,,,??1QUrlQuery@@QAE@XZ,,,,,,,,,,,,,,,,,?childEvent@QLayout@@MAEXPAVQChildEvent@@@Z,,,,,ID3V2GetCommercialFrameSellerNameW,?DoGetClientSize@wxFrame@@MBEXPAH0@Z,,,,,,,,,,,,,,,,,
1202,@Vcl@Controls@TWinControl@CustomAlignInsertBefore$qqrp21Vcl@Controls@TControlt1,,,,,,,,,?fromString@QDateTime@@SA?AV1@ABVQString@@0@Z,,,,,,,,,,,,,,,,,?qt_metacall@QVBoxLayout@@UAEHW4Call@QMetaObject@@HPAPAX@Z,,,,,ID3V2GetCommercialFrameReceivedAsW,?DoSetClientSize@wxFrame@@MAEXHH@Z,,,,,,,,,,,,,,,,,
1203,@Vcl@Controls@TWinControl@CreateHandle$qqrv,,,,,,,,,?addSecs@QDateTime@@QBE?AV1@_J@Z,,,,,,,,,,,,,,,,,?qt_metacast@QVBoxLayout@@UAEPAXPBD@Z,,,,,ID3V2GetCommercialFramePriceW,?MSWWindowProc@wxFrame@@MAEJIIJ@Z,,,,,,,,,,,,,,,,,
1204,@Vcl@Controls@TWinControl@DestroyWindowHandle$qqrv,,,,,,,,,??4QDateTime@@QAEAAV0@ABV0@@Z,,,,,,,,,,,,,,,,,?metaObject@QVBoxLayout@@UBEPBUQMetaObject@@XZ,,,,,ID3V2GetCommercialFramePictureW,?MSWProcessMessage@wxWindow@@UAE_NPAUtagMSG@@@Z,,,,,,,,,,,,,,,,,
1205,@Vcl@Controls@TWinControl@DestroyWnd$qqrv,,,,,,,,,?toString@QDateTime@@QBE?AVQString@@ABV2@@Z,,,,,,,,,,,,,,,,,??0QVBoxLayout@@QAE@PAVQWidget@@@Z,,,,,ID3V2GetCommercialFramePictureMimeW,?MSWTranslateMessage@wxFrame@@MAE_NPAUtagMSG@@@Z,,,,,,,,,,,,,,,,,
1206,@Vcl@Controls@TWinControl@DefineProperties$qqrp21System@Classes@TFiler,,,,,,,,,?currentDateTime@QDateTime@@SA?AV1@XZ,,,,,,,,,,,,,,,,,?setSpacing@QBoxLayout@@QAEXH@Z,,,,,ID3V2GetCommercialFrameDescriptionW,?ShowFullScreen@wxFrame@@UAE_N_NJ@Z,,,,,,,,,,,,,,,,,
1207,@Vcl@Controls@TWinControl@CreateWindowHandle$qqrrx26Vcl@Controls@TCreateParams,,,,,,,,,??MQDateTime@@QBE_NABV0@@Z,,,,,,,,,,,,,,,,,?setContentsMargins@QLayout@@QAEXHHHH@Z,,,,,ID3V2GetCommercialFrameContactURLW,?IsOneOfBars@wxFrameBase@@MBE_NPBVwxWindow@@@Z,,,,,,,,,,,,,,,,,
1208,@Vcl@Controls@TWinControl@CreateWnd$qqrv,,,,,,,,,??6QDataStream@@QAEAAV0@H@Z,,,,,,,,,,,,,,,,,??0QFrame@@QAE@PAVQWidget@@V?$QFlags@W4WindowType@Qt@@@@@Z,,,,,ID3V2GetCommentW,?SendSizeEvent@wxFrame@@UAEXXZ,,,,,,,,,,,,,,,,,
1209,@Vcl@Controls@TWinControl@CreateParams$qqrr26Vcl@Controls@TCreateParams,,,,,,,,,??6@YAAAVQDataStream@@AAV0@ABVQString@@@Z,,,,,,,,,,,,,,,,,??0QStackedLayout@@QAE@PAVQWidget@@@Z,,,,,ID3V2GetCommentLanguageW,?SetMenuBar@wxFrameBase@@UAEXPAVwxMenuBar@@@Z,,,,,,,,,,,,,,,,,
1210,@Vcl@Controls@TWinControl@Notification$qqrp25System@Classes@TComponent25System@Classes@TOperation,,,,,,,,,?moveCenter@QRect@@QAEXABVQPoint@@@Z,,,,,,,,,,,,,,,,,?setSpacing@QLayout@@QAEXH@Z,,,,,ID3V2GetCommentDescriptionW,?GetMenuBar@wxFrameBase@@UBEPAVwxMenuBar@@XZ,,,,,,,,,,,,,,,,,
1211,@Vcl@Controls@TWinControl@GetControlCount$qqrv,,,,,,,,,?intersects@QRect@@QBE_NABV1@@Z,,,,,,,,,,,,,,,,,??0QSplitter@@QAE@PAVQWidget@@@Z,,,,,ID3V2GetChildElementsW,?CreateStatusBar@wxFrameBase@@UAEPAVwxStatusBar@@HJHABVwxString@@@Z,,,,,,,,,,,,,,,,,
1212,@Vcl@Controls@TWinControl@GetControl$qqri,,,,,,,,,?layoutAboutToBeChanged@QAbstractItemModel@@QAEXABV?$QList@VQPersistentModelIndex@@@@W4LayoutChangeHint@1@@Z,,,,,,,,,,,,,,,,,?setChildrenCollapsible@QSplitter@@QAEX_N@Z,,,,,ID3V2GetChildElementIDW,?OnCreateStatusBar@wxFrame@@UAEPAVwxStatusBar@@HJHABVwxString@@@Z,,,,,,,,,,,,,,,,,
1213,@Vcl@Controls@TWinControl@ContainsControl$qqrp21Vcl@Controls@TControl,,,,,,,,,?layoutChanged@QAbstractItemModel@@QAEXABV?$QList@VQPersistentModelIndex@@@@W4LayoutChangeHint@1@@Z,,,,,,,,,,,,,,,,,?setOpaqueResize@QSplitter@@QAEX_N@Z,,,,,ID3V2GetChapterStartTimeW,?GetStatusBar@wxFrameBase@@UBEPAVwxStatusBar@@XZ,,,,,,,,,,,,,,,,,
1214,@Vcl@Controls@TWinControl@EnableAlign$qqrv,,,,,,,,,?headerDataChanged@QAbstractItemModel@@QAEXW4Orientation@Qt@@HH@Z,,,,,,,,,,,,,,,,,?setHidden@QWidget@@QAEX_N@Z,,,,,ID3V2GetChapterEndTimeW,?SetStatusBar@wxFrameBase@@UAEXPAVwxStatusBar@@@Z,,,,,,,,,,,,,,,,,
1215,@Vcl@Controls@TWinControl@DisableAlign$qqrv,,,,,,,,,?revert@QAbstractItemModel@@UAEXXZ,,,,,,,,,,,,,,,,,?addWidget@QStackedLayout@@QAEHPAVQWidget@@@Z,,,,,ID3V2GetAudioSeekPointStartW,?SetStatusText@wxFrameBase@@UAEXABVwxString@@H@Z,,,,,,,,,,,,,,,,,
1216,@Vcl@Controls@TWinControl@AlignControls$qqrp21Vcl@Controls@TControlr18System@Types@TRect,,,,,,,,,?submit@QAbstractItemModel@@UAE_NXZ,,,,,,,,,,,,,,,,,?addWidget@QSplitter@@QAEXPAVQWidget@@@Z,,,,,ID3V2GetAudioSeekPointNumberW,?SetStatusWidths@wxFrameBase@@UAEXHQBH@Z,,,,,,,,,,,,,,,,,
1217,@Vcl@Controls@TWinControl@AdjustClientRect$qqrr18System@Types@TRect,,,,,,,,,?roleNames@QAbstractItemModel@@UBE?AV?$QHash@HVQByteArray@@@@XZ,,,,,,,,,,,,,,,,,??0QHBoxLayout@@QAE@PAVQWidget@@@Z,,,,,ID3V2GetAudioSeekPointLengthW,?CreateToolBar@wxFrame@@UAEPAVwxToolBar@@JHABVwxString@@@Z,,,,,,,,,,,,,,,,,
1218,@Vcl@Controls@TWinControl@ReadState$qqrp22System@Classes@TReader,,,,,,,,,?span@QAbstractItemModel@@UBE?AVQSize@@ABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?setStretchFactor@QSplitter@@QAEXHH@Z,,,,,ID3V2GetAudioSeekPointDataW,??0wxSizerFlags@@QAE@H@Z,,,,,,,,,,,,,,,,,
1219,@Vcl@Controls@TControl@SetAlignWithMargins$qqro,,,,,,,,,?match@QAbstractItemModel@@UBE?AV?$QList@VQModelIndex@@@@ABVQModelIndex@@HABVQVariant@@HV?$QFlags@W4MatchFlag@Qt@@@@@Z,,,,,,,,,,,,,,,,,?setMouseTracking@QWidget@@QAEX_N@Z,,,,,ID3V2GetAudioSeekPointBitsPerIndexpointW,?OnCreateToolBar@wxFrameBase@@UAEPAVwxToolBar@@JHABVwxString@@@Z,,,,,,,,,,,,,,,,,
1220,@Vcl@Controls@TControl@GetAlignWithMargins$qqrv,,,,,,,,,?buddy@QAbstractItemModel@@UBE?AVQModelIndex@@ABV2@@Z,,,,,,,,,,,,,,,,,?setText@QAbstractButton@@QAEXABVQString@@@Z,,,,,ID3V2GetAudioEncryptionURLW,?SetToolBar@wxFrameBase@@UAEXPAVwxToolBar@@@Z,,,,,,,,,,,,,,,,,
1221,@Vcl@Controls@TControl@InitiateAction$qqrv,,,,,,,,,?sort@QAbstractItemModel@@UAEXHW4SortOrder@Qt@@@Z,,,,,,,,,,,,,,,,,?question@QMessageBox@@SA?AW4StandardButton@1@PAVQWidget@@ABVQString@@1V?$QFlags@W4StandardButton@QMessageBox@@@@W421@@Z,,,,,ID3V2GetAudioEncryptionPreviewStartW,?DoMenuUpdates@wxFrameBase@@UAEXPAVwxMenu@@@Z,,,,,,,,,,,,,,,,,
1222,@Vcl@Controls@TControl@GetFloatingDockSiteClass$qqrv,,,,,,,,,?flags@QAbstractItemModel@@UBE?AV?$QFlags@W4ItemFlag@Qt@@@@ABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,??0QMessageBox@@QAE@W4Icon@0@ABVQString@@1V?$QFlags@W4StandardButton@QMessageBox@@@@PAVQWidget@@V?$QFlags@W4WindowType@Qt@@@@@Z,,,,,ID3V2GetAudioEncryptionPreviewLengthW,?DoGiveHelp@wxFrameBase@@UAEXABVwxString@@_N@Z,,,,,,,,,,,,,,,,,
1223,@Vcl@Controls@TControl@GetFloating$qqrv,,,,,,,,,?canFetchMore@QAbstractItemModel@@UBE_NABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?setDefaultButton@QMessageBox@@QAEXW4StandardButton@1@@Z,,,,,ID3V2GetAudioEncryptionDataW,?PositionMenuBar@wxFrameBase@@MAEXXZ,,,,,,,,,,,,,,,,,
1224,@Vcl@Controls@TControl@Loaded$qqrv,,,,,,,,,?fetchMore@QAbstractItemModel@@UAEXABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?setEscapeButton@QMessageBox@@QAEXW4StandardButton@1@@Z,,,,,ID3V2GetAllFrameIDsW,?DetachMenuBar@wxFrameBase@@MAEXXZ,,,,,,,,,,,,,,,,,
1225,@Vcl@Controls@TControl@CreateTouchManager$qqrv,,,,,,,,,?moveColumns@QAbstractItemModel@@UAE_NABVQModelIndex@@HH0H@Z,,,,,,,,,,,,,,,,,?button@QMessageBox@@QBEPAVQAbstractButton@@W4StandardButton@1@@Z,,,,,ID3V2GetAddendumTypeW,?AttachMenuBar@wxFrame@@MAEXPAVwxMenuBar@@@Z,,,,,,,,,,,,,,,,,
1226,@Vcl@Controls@TControl@CMMouseLeave$qqrr24Winapi@Messages@TMessage,,,,,,,,,?moveRows@QAbstractItemModel@@UAE_NABVQModelIndex@@HH0H@Z,,,,,,,,,,,,,,,,,?hide@QWidget@@QAEXXZ,,,,,ID3V2GetAddendumTitleW,?PositionStatusBar@wxFrame@@UAEXXZ,,,,,,,,,,,,,,,,,
1227,@Vcl@Controls@TControl@CMMouseEnter$qqrr24Winapi@Messages@TMessage,,,,,,,,,?removeColumns@QAbstractItemModel@@UAE_NHHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,??1QMessageBox@@UAE@XZ,,,,,ID3V2GetAddendumDescriptionW,?PositionToolBar@wxFrame@@UAEXXZ,,,,,,,,,,,,,,,,,
1228,@Vcl@Controls@TControl@DblClick$qqrv,,,,,,,,,?removeRows@QAbstractItemModel@@UAE_NHHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?size@QWidget@@QBE?AVQSize@@XZ,,,,,ID3V2ExistsW,?InternalSetMenuBar@wxFrame@@MAEXXZ,,,,,,,,,,,,,,,,,
1229,@Vcl@Controls@TControl@Perform$qqruiuii,,,,,,,,,?insertColumns@QAbstractItemModel@@UAE_NHHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?pos@QWidget@@QBE?AVQPoint@@XZ,,,,,ID3V2DeleteSubFrameW,?IsMDIChild@wxFrame@@MBE_NXZ,,,,,,,,,,,,,,,,,
1230,@Vcl@Controls@TControl@CalcCursorPos$qqrv,,,,,,,,,?insertRows@QAbstractItemModel@@UAE_NHHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,??0QPixmap@@QAE@ABVQString@@PBDV?$QFlags@W4ImageConversionFlag@Qt@@@@@Z,,,,,ID3V2DeleteSelectedFrameW,?GetDefaultIcon@wxFrame@@MBEPAXXZ,,,,,,,,,,,,,,,,,
1231,@Vcl@Controls@TControl@ManualFloat$qqrrx18System@Types@TRect,,,,,,,,,?supportedDragActions@QAbstractItemModel@@UBE?AV?$QFlags@W4DropAction@Qt@@@@XZ,,,,,,,,,,,,,,,,,??1QPixmap@@UAE@XZ,,,,,ID3V2DeleteChildElementW,?wxEVT_KEY_DOWN@@3HB,,,,,,,,,,,,,,,,,
1232,@Vcl@Controls@TControl@ManualDock$qqrp24Vcl@Controls@TWinControlp21Vcl@Controls@TControl19Vcl@Controls@TAlign,,,,,,,,,?supportedDropActions@QAbstractItemModel@@UBE?AV?$QFlags@W4DropAction@Qt@@@@XZ,,,,,,,,,,,,,,,,,?information@QMessageBox@@SA?AW4StandardButton@1@PAVQWidget@@ABVQString@@1V?$QFlags@W4StandardButton@QMessageBox@@@@W421@@Z,,,,,ID3V2DeleteAllFramesW,??0wxKeyEvent@@QAE@H@Z,,,,,,,,,,,,,,,,,
1233,@Vcl@Controls@TControl@DoGesture$qqrrx30Vcl@Controls@TGestureEventInforo,,,,,,,,,?dropMimeData@QAbstractTableModel@@UAE_NPBVQMimeData@@W4DropAction@Qt@@HHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?windowState@QWidget@@QBE?AV?$QFlags@W4WindowState@Qt@@@@XZ,,,,,ID3V2DeleteAddendumW,?wxGetActiveWindow@@YAPAVwxWindow@@XZ,,,,,,,,,,,,,,,,,
1234,@Vcl@Controls@TControl@BeginDrag$qqroi,,,,,,,,,?canDropMimeData@QAbstractItemModel@@UBE_NPBVQMimeData@@W4DropAction@Qt@@HHABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?event@QFrame@@MAE_NPAVQEvent@@@Z,,,,,ID3V2AddUserURLW,?GetEventHandler@wxWindowBase@@QBEPAVwxEvtHandler@@XZ,,,,,,,,,,,,,,,,,
1235,@Vcl@Controls@TControl@BringToFront$qqrv,,,,,,,,,?mimeData@QAbstractItemModel@@UBEPAVQMimeData@@ABV?$QList@VQModelIndex@@@@@Z,,,,,,,,,,,,,,,,,?isMinimized@QWidget@@QBE_NXZ,,,,,ID3V2AddUserTextW,?GetId@wxWindowBase@@QBEHXZ,,,,,,,,,,,,,,,,,
1236,@Vcl@Controls@TControl@SetMouseCapture$qqro,,,,,,,,,?mimeTypes@QAbstractItemModel@@UBE?AVQStringList@@XZ,,,,,,,,,,,,,,,,,?showMinimized@QWidget@@QAEXXZ,,,,,ID3V2AddUserFrameW,??1wxKeyEvent@@UAE@XZ,,,,,,,,,,,,,,,,,
1237,@Vcl@Controls@TControl@SetCursor$qqr22System@Uitypes@TCursor,,,,,,,,,?setItemData@QAbstractItemModel@@UAE_NABVQModelIndex@@ABV?$QMap@HVQVariant@@@@@Z,,,,,,,,,,,,,,,,,?getOpenFileName@QFileDialog@@SA?AVQString@@PAVQWidget@@ABV2@11PAV2@V?$QFlags@W4Option@QFileDialog@@@@@Z,,,,,ID3V2AddUniqueFileIdentifierW,?Close@wxWindowBase@@QAE_N_N@Z,,,,,,,,,,,,,,,,,
1238,@Vcl@Controls@TControl@SetParentBiDiMode$qqro,,,,,,,,,?itemData@QAbstractItemModel@@UBE?AV?$QMap@HVQVariant@@@@ABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?keyboardModifiers@QApplication@@SA?AV?$QFlags@W4KeyboardModifier@Qt@@@@XZ,,,,,ID3V2AddTableOfContentW,??0wxTimer@@QAE@XZ,,,,,,,,,,,,,,,,,
1239,@Vcl@Controls@TControl@SetColor$qqr21System@Uitypes@TColor,,,,,,,,,?setHeaderData@QAbstractItemModel@@UAE_NHW4Orientation@Qt@@ABVQVariant@@H@Z,,,,,,,,,,,,,,,,,?addWidget@QBoxLayout@@QAEXPAVQWidget@@HV?$QFlags@W4AlignmentFlag@Qt@@@@@Z,,,,,ID3V2AddSynchronizedTempoW,??1wxTimer@@UAE@XZ,,,,,,,,,,,,,,,,,
1240,@Vcl@Controls@TControl@SetShowHint$qqro,,,,,,,,,?setData@QAbstractItemModel@@UAE_NABVQModelIndex@@ABVQVariant@@H@Z,,,,,,,,,,,,,,,,,?showNormal@QWidget@@QAEXXZ,,,,,ID3V2AddSyncLyricW,?GetClassInfo@wxTimer@@UBEPAVwxClassInfo@@XZ,,,,,,,,,,,,,,,,,
1241,@Vcl@Controls@TControl@SetFont$qqrp18Vcl@Graphics@TFont,,,,,,,,,?hasChildren@QAbstractTableModel@@EBE_NABVQModelIndex@@@Z,,,,,,,,,,,,,,,,,?showFullScreen@QWidget@@QAEXXZ,,,,,ID3V2AddSignatureFrameW,?Start@wxTimer@@UAE_NH_N@Z,,,,,,,,,,,,,,,,,
1242,@Vcl@Controls@TControl@SetBiDiMode$qqr24System@Classes@TBiDiMode,,,,,,,,,?sibling@QAbstractItemModel@@UBE?AVQModelIndex@@HHABV2@@Z,,,,,,,,,,,,,,,,,??0QImage@@QAE@ABV0@@Z,,,,,ID3V2AddReverbW,?Stop@wxTimer@@UAEXXZ,,,,,,,,,,,,,,,,,
1243,@Vcl@Controls@TControl@SetText$qqrx20System@UnicodeString,,,,,,,,,?parent@QAbstractTableModel@@EBE?AVQModelIndex@@ABV2@@Z,,,,,,,,,,,,,,,,,?winEvent@QWidget@@MAE_NPAUtagMSG@@PAJ@Z,,,,,ID3V2AddRelativeVolumeAdjustmentW,?IsRunning@wxTimer@@UBE_NXZ,,,,,,,,,,,,,,,,,
1244,@Vcl@Controls@TControl@GetText$qqrv,,,,,,,,,?index@QAbstractTableModel@@UBE?AVQModelIndex@@HHABV2@@Z,,,,,,,,,,,,,,,,,?key@QKeyEvent@@QBEHXZ,,,,,ID3V2AddRecommendedBufferSizeW,??1wxGIFHandler@@UAE@XZ,,,,,,,,,,,,,,,,,
1245,@Vcl@Controls@TControl@SetPopupMenu$qqrp20Vcl@Menus@TPopupMenu,,,,,,,,,??0QAbstractTableModel@@QAE@PAVQObject@@@Z,,,,,,,,,,,,,,,,,?closeEvent@QWidget@@MAEXPAVQCloseEvent@@@Z,,,,,ID3V2AddPrivateFrameW,??1wxJPEGHandler@@UAE@XZ,,,,,,,,,,,,,,,,,
1246,@Vcl@Controls@TControl@SetEnabled$qqro,,,,,,,,,??1QPersistentModelIndex@@QAE@XZ,,,,,,,,,,,,,,,,,?isHidden@QWidget@@QBE_NXZ,,,,,ID3V2AddPositionSynchronisationW,??1wxPNGHandler@@UAE@XZ,,,,,,,,,,,,,,,,,
1247,@Vcl@Controls@TControl@SetVisible$qqro,,,,,,,,,??0QVariant@@QAE@XZ,,,,,,,,,,,,,,,,,?height@QWidget@@QBEHXZ,,,,,ID3V2AddPopularimeterW,??1wxICOHandler@@UAE@XZ,,,,,,,,,,,,,,,,,
1248,@Vcl@Controls@TControl@SetName$qqrx20System@UnicodeString,,,,,,,,,??1QAbstractTableModel@@UAE@XZ,,,,,,,,,,,,,,,,,?resize@QWidget@@QAEXHH@Z,,,,,ID3V2AddPictureFileW,??0wxGIFHandler@@QAE@XZ,,,,,,,,,,,,,,,,,
1249,@Vcl@Controls@TControl@SetAutoSize$qqro,,,,,,,,,?append@QByteArray@@QAEAAV1@PBD@Z,,,,,,,,,,,,,,,,,?showMaximized@QWidget@@QAEXXZ,,,,,ID3V2AddPictureArrayW,?AddHandler@wxImage@@SAXPAVwxImageHandler@@@Z,,,,,,,,,,,,,,,,,
1250,@Vcl@Controls@TControl@ScreenToClient$qqrrx19System@Types@TPoint,,,,,,,,,??0QByteArray@@QAE@ABV0@@Z,,,,,,,,,,,,,,,,,?widget@QStackedLayout@@QBEPAVQWidget@@H@Z,,,,,ID3V2AddOwnershipW,?ClearBackground@wxWindowBase@@UAEXXZ,,,,,,,,,,,,,,,,,
1251,@Vcl@Controls@TControl@DefaultScalingFlags$qqrv,,,,,,,,,?erase@QListData@@QAEPAPAXPAPAX@Z,,,,,,,,,,,,,,,,,?insertWidget@QStackedLayout@@QAEHHPAVQWidget@@@Z,,,,,ID3V2AddMusicCdIdentifierW,?Freeze@wxWindow@@UAEXXZ,,,,,,,,,,,,,,,,,
1252,@Vcl@Controls@TControl@ClientToScreen$qqrrx19System@Types@TPoint,,,,,,,,,?readAll@QIODevice@@QAE?AVQByteArray@@XZ,,,,,,,,,,,,,,,,,?removeWidget@QLayout@@QAEXPAVQWidget@@@Z,,,,,ID3V2AddMpegLocationLookupTableW,?Thaw@wxWindow@@UAEXXZ,,,,,,,,,,,,,,,,,
1253,@Vcl@Controls@TControl@GetClientWidth$qqrv,,,,,,,,,??6QDebug@@QAEAAV0@ABVQByteArray@@@Z,,,,,,,,,,,,,,,,,?currentWidget@QStackedLayout@@QBEPAVQWidget@@XZ,,,,,ID3V2AddLyricW,?PrepareDC@wxWindowBase@@UAEXAAVwxDC@@@Z,,,,,,,,,,,,,,,,,
1254,@Vcl@Controls@TControl@SetBoundsRect$qqrrx18System@Types@TRect,,,,,,,,,?host@QUrl@@QBE?AVQString@@V?$QFlags@W4ComponentFormattingOption@QUrl@@@@@Z,,,,,,,,,,,,,,,,,??0QImage@@QAE@XZ,,,,,ID3V2AddLinkedInformationW,?GetDefaultAttributes@wxWindowBase@@UBE?AUwxVisualAttributes@@XZ,,,,,,,,,,,,,,,,,
1255,@Vcl@Controls@TControl@GetBoundsRect$qqrv,,,,,,,,,?deleteLater@QObject@@QAEXXZ,,,,,,,,,,,,,,,,,?show@QSystemTrayIcon@@QAEXXZ,,,,,ID3V2AddGroupIdentificationW,??0wxICOHandler@@QAE@XZ,,,,,,,,,,,,,,,,,
